Jahr	Monat	Zimmerzahl	Wohnungen	Total_Wohnungen	Anteil_am_Total_Wohnungen	Wohnviertel_Id	Wohnviertel_name
2019	12	1 Zimmer	276	1479	0.1866125761	1	Altstadt Grossbasel
2019	12	2 Zimmer	385	1479	0.260311021	1	Altstadt Grossbasel
2019	12	3 Zimmer	360	1479	0.2434077079	1	Altstadt Grossbasel
2019	12	4 Zimmer	247	1479	0.1670047329	1	Altstadt Grossbasel
2019	12	5 Zimmer	118	1479	0.0797836376	1	Altstadt Grossbasel
2019	12	6 u.m. Zimmer	93	1479	0.0628803245	1	Altstadt Grossbasel
2019	12	1 Zimmer	805	3421	0.2353113125	2	Vorstädte
2019	12	2 Zimmer	706	3421	0.2063724057	2	Vorstädte
2019	12	3 Zimmer	940	3421	0.2747734581	2	Vorstädte
2019	12	4 Zimmer	570	3421	0.166617948	2	Vorstädte
2019	12	5 Zimmer	256	3421	0.0748319205	2	Vorstädte
2019	12	6 u.m. Zimmer	144	3421	0.0420929553	2	Vorstädte
2019	12	1 Zimmer	1104	6377	0.1731221578	3	Am Ring
2019	12	2 Zimmer	1366	6377	0.2142073075	3	Am Ring
2019	12	3 Zimmer	1922	6377	0.3013956406	3	Am Ring
2019	12	4 Zimmer	1193	6377	0.1870785636	3	Am Ring
2019	12	5 Zimmer	393	6377	0.0616277246	3	Am Ring
2019	12	6 u.m. Zimmer	399	6377	0.0625686059	3	Am Ring
2019	12	1 Zimmer	271	5376	0.0504092262	4	Breite
2019	12	2 Zimmer	1473	5376	0.2739955357	4	Breite
2019	12	3 Zimmer	2707	5376	0.5035342262	4	Breite
2019	12	4 Zimmer	680	5376	0.1264880952	4	Breite
2019	12	5 Zimmer	182	5376	0.0338541667	4	Breite
2019	12	6 u.m. Zimmer	63	5376	0.01171875	4	Breite
2019	12	1 Zimmer	474	6481	0.0731368616	5	St. Alban
2019	12	2 Zimmer	1285	6481	0.1982718716	5	St. Alban
2019	12	3 Zimmer	2186	6481	0.3372936275	5	St. Alban
2019	12	4 Zimmer	1488	6481	0.2295941984	5	St. Alban
2019	12	5 Zimmer	542	6481	0.0836290696	5	St. Alban
2019	12	6 u.m. Zimmer	506	6481	0.0780743712	5	St. Alban
2019	12	1 Zimmer	1542	11394	0.1353343865	6	Gundeldingen
2019	12	2 Zimmer	3026	11394	0.2655783746	6	Gundeldingen
2019	12	3 Zimmer	4531	11394	0.3976654379	6	Gundeldingen
2019	12	4 Zimmer	1839	11394	0.1614007372	6	Gundeldingen
2019	12	5 Zimmer	367	11394	0.0322099351	6	Gundeldingen
2019	12	6 u.m. Zimmer	89	11394	0.0078111287	6	Gundeldingen
2019	12	1 Zimmer	114	4435	0.0257046223	7	Bruderholz
2019	12	2 Zimmer	472	4435	0.1064261556	7	Bruderholz
2019	12	3 Zimmer	1155	4435	0.2604284104	7	Bruderholz
2019	12	4 Zimmer	1115	4435	0.2514092446	7	Bruderholz
2019	12	5 Zimmer	651	4435	0.1467869222	7	Bruderholz
2019	12	6 u.m. Zimmer	928	4435	0.2092446449	7	Bruderholz
2019	12	1 Zimmer	387	7317	0.0528905289	8	Bachletten
2019	12	2 Zimmer	1096	7317	0.1497881645	8	Bachletten
2019	12	3 Zimmer	2933	7317	0.4008473418	8	Bachletten
2019	12	4 Zimmer	1245	7317	0.1701517015	8	Bachletten
2019	12	5 Zimmer	764	7317	0.1044143775	8	Bachletten
2019	12	6 u.m. Zimmer	892	7317	0.1219078857	8	Bachletten
2019	12	1 Zimmer	601	4193	0.1433341283	9	Gotthelf
2019	12	2 Zimmer	987	4193	0.2353923205	9	Gotthelf
2019	12	3 Zimmer	1573	4193	0.375149058	9	Gotthelf
2019	12	4 Zimmer	600	4193	0.1430956356	9	Gotthelf
2019	12	5 Zimmer	253	4193	0.0603386597	9	Gotthelf
2019	12	6 u.m. Zimmer	179	4193	0.0426901979	9	Gotthelf
2019	12	1 Zimmer	934	9796	0.0953450388	10	Iselin
2019	12	2 Zimmer	3028	9796	0.3091057575	10	Iselin
2019	12	3 Zimmer	4027	9796	0.4110861576	10	Iselin
2019	12	4 Zimmer	1407	9796	0.1436300531	10	Iselin
2019	12	5 Zimmer	261	9796	0.026643528	10	Iselin
2019	12	6 u.m. Zimmer	139	9796	0.0141894651	10	Iselin
2019	12	1 Zimmer	1103	10111	0.1090891109	11	St. Johann
2019	12	2 Zimmer	2968	10111	0.2935416873	11	St. Johann
2019	12	3 Zimmer	3863	10111	0.3820591435	11	St. Johann
2019	12	4 Zimmer	1498	10111	0.1481554742	11	St. Johann
2019	12	5 Zimmer	330	10111	0.0326377213	11	St. Johann
2019	12	6 u.m. Zimmer	349	10111	0.0345168628	11	St. Johann
2019	12	1 Zimmer	296	1600	0.185	12	Altstadt Kleinbasel
2019	12	2 Zimmer	485	1600	0.303125	12	Altstadt Kleinbasel
2019	12	3 Zimmer	512	1600	0.32	12	Altstadt Kleinbasel
2019	12	4 Zimmer	193	1600	0.120625	12	Altstadt Kleinbasel
2019	12	5 Zimmer	77	1600	0.048125	12	Altstadt Kleinbasel
2019	12	6 u.m. Zimmer	37	1600	0.023125	12	Altstadt Kleinbasel
2019	12	1 Zimmer	430	2301	0.1868752716	13	Clara
2019	12	2 Zimmer	654	2301	0.2842242503	13	Clara
2019	12	3 Zimmer	795	2301	0.3455019557	13	Clara
2019	12	4 Zimmer	321	2301	0.1395045632	13	Clara
2019	12	5 Zimmer	86	2301	0.0373750543	13	Clara
2019	12	6 u.m. Zimmer	15	2301	0.0065189048	13	Clara
2019	12	1 Zimmer	196	3299	0.059411943	14	Wettstein
2019	12	2 Zimmer	734	3299	0.2224916641	14	Wettstein
2019	12	3 Zimmer	1490	3299	0.4516520158	14	Wettstein
2019	12	4 Zimmer	526	3299	0.1594422552	14	Wettstein
2019	12	5 Zimmer	157	3299	0.0475901788	14	Wettstein
2019	12	6 u.m. Zimmer	196	3299	0.059411943	14	Wettstein
2019	12	1 Zimmer	202	4750	0.0425263158	15	Hirzbrunnen
2019	12	2 Zimmer	670	4750	0.1410526316	15	Hirzbrunnen
2019	12	3 Zimmer	2202	4750	0.4635789474	15	Hirzbrunnen
2019	12	4 Zimmer	1062	4750	0.2235789474	15	Hirzbrunnen
2019	12	5 Zimmer	410	4750	0.0863157895	15	Hirzbrunnen
2019	12	6 u.m. Zimmer	204	4750	0.0429473684	15	Hirzbrunnen
2019	12	1 Zimmer	432	4060	0.1064039409	16	Rosental
2019	12	2 Zimmer	1416	4060	0.3487684729	16	Rosental
2019	12	3 Zimmer	1507	4060	0.371182266	16	Rosental
2019	12	4 Zimmer	575	4060	0.1416256158	16	Rosental
2019	12	5 Zimmer	101	4060	0.0248768473	16	Rosental
2019	12	6 u.m. Zimmer	29	4060	0.0071428571	16	Rosental
2019	12	1 Zimmer	1418	8921	0.1589507903	17	Matthäus
2019	12	2 Zimmer	2643	8921	0.2962672346	17	Matthäus
2019	12	3 Zimmer	3176	8921	0.3560138998	17	Matthäus
2019	12	4 Zimmer	1238	8921	0.1387736801	17	Matthäus
2019	12	5 Zimmer	307	8921	0.0344131824	17	Matthäus
2019	12	6 u.m. Zimmer	139	8921	0.0155812129	17	Matthäus
2019	12	1 Zimmer	411	3845	0.1068920676	18	Klybeck
2019	12	2 Zimmer	1365	3845	0.355006502	18	Klybeck
2019	12	3 Zimmer	1414	3845	0.3677503251	18	Klybeck
2019	12	4 Zimmer	509	3845	0.1323797139	18	Klybeck
2019	12	5 Zimmer	111	3845	0.0288686606	18	Klybeck
2019	12	6 u.m. Zimmer	35	3845	0.0091027308	18	Klybeck
2019	12	1 Zimmer	96	1362	0.0704845815	19	Kleinhüningen
2019	12	2 Zimmer	347	1362	0.2547723935	19	Kleinhüningen
2019	12	3 Zimmer	667	1362	0.4897209985	19	Kleinhüningen
2019	12	4 Zimmer	203	1362	0.1490455213	19	Kleinhüningen
2019	12	5 Zimmer	30	1362	0.0220264317	19	Kleinhüningen
2019	12	6 u.m. Zimmer	19	1362	0.0139500734	19	Kleinhüningen
2019	12	1 Zimmer	309	10466	0.0295241735	20	Riehen
2019	12	2 Zimmer	1150	10466	0.1098796102	20	Riehen
2019	12	3 Zimmer	3284	10466	0.3137779476	20	Riehen
2019	12	4 Zimmer	2824	10466	0.2698261036	20	Riehen
2019	12	5 Zimmer	1556	10466	0.1486718899	20	Riehen
2019	12	6 u.m. Zimmer	1343	10466	0.1283202752	20	Riehen
2019	12	1 Zimmer	18	504	0.0357142857	30	Bettingen
2019	12	2 Zimmer	44	504	0.0873015873	30	Bettingen
2019	12	3 Zimmer	92	504	0.1825396825	30	Bettingen
2019	12	4 Zimmer	104	504	0.2063492063	30	Bettingen
2019	12	5 Zimmer	131	504	0.2599206349	30	Bettingen
2019	12	6 u.m. Zimmer	115	504	0.2281746032	30	Bettingen
2019	12	1 Zimmer	11419	111488	0.1024235792	99	Kanton Basel-Stadt
2019	12	2 Zimmer	26300	111488	0.2358998278	99	Kanton Basel-Stadt
2019	12	3 Zimmer	41336	111488	0.3707663605	99	Kanton Basel-Stadt
2019	12	4 Zimmer	19437	111488	0.1743416332	99	Kanton Basel-Stadt
2019	12	5 Zimmer	7083	111488	0.0635315011	99	Kanton Basel-Stadt
2019	12	6 u.m. Zimmer	5913	111488	0.0530370982	99	Kanton Basel-Stadt
