WohnviertelId	Wohnviertel_Name	2015	Differenz 2015 zu 1995	1995
1	Altstadt GB	234073	11454	222619
2	Vorstädte	419021	13440	405581
3	Am Ring	717612	29810	687802
4	Breite	497145	17230	479915
5	St. Alban	844677	103327	741350
6	Gundeldingen	1034556	70752	963804
7	Bruderholz	662320	25065	637255
8	Bachletten	906037	20481	885556
9	Gotthelf	431363	13462	417901
10	Iselin	893071	23587	869484
11	St. Johann	1027520	98336	929184
12	Altstadt KB	168605	2791	165814
13	Clara	228425	9541	218884
14	Wettstein	374234	40134	334100
15	Hirzbrunnen	469136	18282	450854
16	Rosental	327950	107543	220407
17	Matthäus	818470	38339	780131
18	Klybeck	329535	3162	326373
19	Kleinhüningen	138015	34525	103490
20	Riehen	1376956	121892	1255064
30	Bettingen	98676	15317	83359
